name,sic,cityba,afs,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity
"apogee enterprises, inc.",3231,minneapolis,2,990703000.0,332132000.0,36469000.0,,0.33,8535000.0,3672000.0,,990703000.0,188205000.0,-14257000.0,-4148000.0,6883000.0,10817000.0,16042000.0,292296000.0,352130000.0,497551000.0
mccormick & co inc,2090,hunt valley,1,12810500000.0,2052600000.0,291800000.0,-131800000.0,0.01,,45400000.0,8469700000.0,12810500000.0,2381200000.0,377900000.0,-753600000.0,228700000.0,183700000.0,237400000.0,1112800000.0,2660500000.0,4325300000.0
micron technology inc,3674,boise,1,55943000000.0,18561000000.0,7759000000.0,136000000.0,0.1,120000000.0,65000000.0,13684000000.0,55943000000.0,5462000000.0,-437000000.0,-8055000000.0,8584000000.0,3141000000.0,3328000000.0,,36452000000.0,42259000000.0
american rebel holdings inc,3089,nashville,4,1104225.0,1100572.0,29194.0,,0.001,77127.0,0.0,6788811.0,1104225.0,6468421.0,197032.0,0.0,-228737.0,-927615.0,-379363.0,3653.0,-21798328.0,-5684586.0
mexus gold us,1040,carson city,4,1131420.0,8081.0,8081.0,,0.001,177714.0,0.0,2632722.0,1131420.0,2632722.0,792783.0,-49000.0,,-3332130.0,,293392.0,-35677798.0,-1501302.0
hpx corp.,6770,wilmington,4,254403408.0,1391197.0,1132050.0,1132050.0,,,0.0,30238877.0,254403408.0,294177.0,254571552.0,-253000000.0,-439502.0,-8683738.0,-314723.0,,-8683738.0,5000006.0
pine island acquisition corp.,6770,fort lauderdale,4,219682119.0,1279559.0,403875.0,,,,0.0,29065015.0,219682119.0,246195.0,219775994.0,-218388000.0,-984119.0,-3275148.0,-249470.0,,-3275148.0,5000004.0
pine island acquisition corp.,6770,fort lauderdale,4,219484984.0,1049999.0,300767.0,,,,,24690646.0,219484984.0,336146.0,-27880.0,,-75228.0,4177234.0,-319511.0,,1836024.0,5000008.0
"sanuwave health, inc.",3841,suwanee,4,32866106.0,9954632.0,5391591.0,3631136.0,0.001,466095.0,,41965064.0,32866106.0,30821589.0,33449131.0,-20039142.0,-9779889.0,-12638637.0,-5768768.0,979673.0,-145025761.0,-9098958.0
acuity brands inc,3640,atlanta,1,3560300000.0,1538500000.0,593500000.0,32800000.0,0.01,500000.0,23500000.0,1521200000.0,3560300000.0,671400000.0,-260300000.0,-31400000.0,316200000.0,85700000.0,118100000.0,259700000.0,2717000000.0,2039100000.0
roivant sciences ltd.,2834,hamilton hm11,4,2589692000.0,1699907.0,2055044000.0,,0.0,0.0,1686000.0,44716022.0,412490902.0,4203154.0,456264000.0,-31702000.0,-552138000.0,19019100.0,-1070898000.0,14749000.0,4998504.0,5000010.0
beauty health co,3841,long beach,4,463533143.0,3348743.0,2753154.0,,,,0.0,68406802.0,463533143.0,813471.0,,,-511921.0,13637202.0,-602319.0,,-68016288.0,-64911288.0
alpha healthcare acquisition corp.,2836,new york,4,100667493.0,637641.0,513059.0,-581702.0,,252.0,,17257243.0,100667493.0,135647.0,-87964.0,-100000000.0,-493738.0,-9435532.0,-493818.0,,-8015887.0,5000010.0
tech & energy transition corp,6770,new york,4,389285012.0,3729734.0,3149760.0,,,344.0,,33652199.0,389285012.0,2199199.0,387311379.0,-385000632.0,839013.0,2674800.0,,,2672006.0,5000001.0
"optileaf, inc.",7372,wichita,4,32129.0,32129.0,20494.0,9204.0,,821000.0,,84996.0,32129.0,39996.0,25000.0,,-15796.0,-17429.0,-21458.0,,-873867.0,-52867.0
byrna technologies inc.,3690,andover,4,22033000.0,14428000.0,,-4311000.0,0.001,20000.0,183000.0,8883000.0,22033000.0,7978000.0,2669000.0,-3855000.0,-2864000.0,2037000.0,1612000.0,1187000.0,-48450000.0,13150000.0
ellington financial inc.,6500,greenwich,2,,,,,,,,,,,,,,,,,,
bassett furniture industries inc,2511,bassett,2,418479000.0,176471000.0,45776000.0,-23000.0,,49262000.0,3746000.0,,418479000.0,130449000.0,-8351000.0,-3722000.0,12050000.0,9985000.0,8379000.0,92581000.0,112325000.0,160262000.0
prevention insurance com inc,6411,melbourne,4,14188.0,14088.0,14088.0,,0.0001,764.0,,78385.0,14188.0,78385.0,29959.0,,-15871.0,-13798.0,-13798.0,,-5062776.0,-64197.0
"hawkeye systems, inc.",3861,savannah,4,1491807.0,1491672.0,51256.0,,0.0001,1584.0,,1380614.0,1491807.0,1380614.0,67500.0,0.0,-927991.0,-2345147.0,-371438.0,135.0,-6854988.0,111193.0
"hawkeye systems, inc.",3861,savannah,4,1636122.0,1636122.0,250410.0,,0.0001,1706.0,,1291715.0,1636122.0,1291715.0,337500.0,0.0,-998837.0,-2701848.0,-319197.0,0.0,-7211689.0,344407.0
"hawkeye systems, inc.",3861,savannah,4,1476324.0,1475587.0,911747.0,,0.0001,1483.0,0.0,1317257.0,1476324.0,1317257.0,1117000.0,-158000.0,-65625.0,-2600468.0,-1190118.0,737.0,-4509841.0,159067.0
"wellness center usa, inc.",2834,hoffman estates,4,287650.0,287650.0,146139.0,94819.0,0.001,121027.0,,3137992.0,287650.0,3100826.0,660000.0,,-565181.0,-393875.0,-667660.0,,-27977238.0,-2700356.0
endexx corp,7389,cave creek,4,2332478.0,1598687.0,,72358.0,0.0001,45741.0,,12698534.0,2332478.0,12285281.0,2118984.0,,-2046626.0,-2503473.0,-907276.0,459861.0,-35209163.0,-10366056.0
nutra pharma corp,2833,coral springs,4,339832.0,57806.0,,,0.001,5876746.0,,12040867.0,339832.0,10989633.0,743659.0,,-743659.0,-6591442.0,-1229893.0,6763.0,-67864284.0,-11701035.0
force protection video equipment corp.,5990,cary,4,12116000.0,5895000.0,4850000.0,4849000.0,0.0,1000.0,,1404000.0,12116000.0,,5082000.0,955000.0,-1188000.0,-1521000.0,-1521000.0,1000.0,-43867000.0,10712000.0
lindsay corp,3523,omaha,1,642217000.0,417725000.0,120801000.0,-602000.0,1.0,18991000.0,5829000.0,306044000.0,642217000.0,144156000.0,-8084000.0,-24967000.0,30660000.0,36768000.0,21341000.0,92517000.0,525926000.0,336173000.0
