,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockValue,IncomeTaxExpenseBenefit,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,StockholdersEquity,name,cityba,afs,Major Group,cluster label
0,990703000.0,332132000.0,36469000.0,-13299857.49,0.33,8535000.0,3672000.0,622322803.9,990703000.0,188205000.0,-14257000.0,-4148000.0,6883000.0,10817000.0,16042000.0,292296000.0,352130000.0,497551000.0,"apogee enterprises, inc.",minneapolis,2,32,0
1,5081851.0,3097867.0,1233738.0,-36077169.09,0.0001,391847.0,58776.0,777858.0,5081851.0,10073393.0,873568.0,-39370261.31,-22974.0,-909168.0,39888.0,111044.0,-158627219.0,-5769400.0,"growlife, inc.",kirkland,4,32,0
2,976453000.0,343894000.0,61821000.0,12919760.04,0.33,8465000.0,1753000.0,594390131.6,976453000.0,199649000.0,-32217000.0,-8763000.0,54907000.0,-2116000.0,12973000.0,272994000.0,336398000.0,476561000.0,"apogee enterprises, inc.",minneapolis,2,32,0
3,55943000000.0,18561000000.0,7759000000.0,136000000.0,0.1,120000000.0,65000000.0,13684000000.0,55943000000.0,5462000000.0,-437000000.0,-8055000000.0,8584000000.0,3141000000.0,3328000000.0,24772685475.0,36452000000.0,42259000000.0,micron technology inc,boise,1,36,0
4,349760550.0,168791.0,75728.0,-64354668.54,-3.213715152,32008823.98,-6560332.258,71660407.0,349760550.0,59585407.0,637407.0,-64532729.13,-695374.0,38507524.0,-1067923.0,15272250.8,-71492479.0,-71491616.0,"indie semiconductor, inc.",aliso viejo,4,36,0
5,1189057000.0,806245000.0,188992000.0,38181000.0,0.03,769000.0,8485000.0,911589000.0,1189057000.0,492218000.0,1295000.0,-68408000.0,105328000.0,-7211000.0,23457000.0,153261000.0,164137000.0,269433000.0,"smart global holdings, inc.",newark,2,36,0
6,32862000.0,27618000.0,13053000.0,-3520593.455,0.1,308000.0,161000.0,98935137.94,32862000.0,2594000.0,-258000.0,-970000.0,-338000.0,1293000.0,1132000.0,5124000.0,-714546678.7,30201000.0,micropac industries inc,garland,4,36,0
7,15637000.0,7185000.0,1666000.0,-1151000.0,0.0,18904838.28,-3209232.194,14065000.0,15637000.0,9793000.0,-55000.0,168000.0,-826000.0,-64000.0,-2071000.0,5462000.0,-179376000.0,1528000.0,semileds corp,chu-nan,4,36,0
8,13723000.0,8641000.0,3019000.0,-884289.4036,0.01,21000.0,-2979115.5,5763000.0,13723000.0,2206000.0,2932000.0,-4598000.0,900000.0,1027000.0,950000.0,4805000.0,7517000.0,7960000.0,solitron devices inc,west palm beach,4,36,0
9,72100389.0,33578636.0,8868823.0,-1558517.0,0.01,48332.0,818976.0,2545040.0,72100389.0,1996181.0,-4833232.0,-25679.0,3300394.0,3579566.0,4108822.0,299394.0,49150698.0,69555349.0,nve corp /new/,eden prairie,4,36,0
