Company,SEDAR_url,mailAddress,contactName,bizEmail,telNum,faxNum,dateForm,jurisdiction,industryClass,cusipNum,finYearEnd,hqAddress,principalRegulator,shortFormProspectusIssuer,reportJurisdiction,stockExchange,stockSym,auditor,generalPartner,transferAgent,assets
,,,,,,,,,,,,,,Yes,All provinces and territories of Canada,"TSX, AMEX",CID,PricewaterhouseCoopers LLP,,CIBC Mellon Trust Company,"$100,000,001 to $500,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"3221 North Service Rd.
Burlington, Ontario
L7N 3G2",Ontario,No,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Nova Scotia, Prince Edward Island, Newfoundland, North West Territories, Yukon, Nunavut",N/A,,KPMG LLP,not applicable,not applicable,"Over $1,000,000,000"
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Computershare Trust Company of Canada,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,"$5,000,001 to $25,000,000"
,,,,,,,,,,,,,,,,,,,,,"Under $5,000,000"
China Keli Electric Company Ltd. (formerly HSF Capital Corporation),https://www.sedar.com/DisplayProfile.do?lang=EN&issuerType=03&issuerNo=00023839,,,,,,,,,,,,,,,,,,,,
